county,state
"Kitsap, WA",Washington
"Solano, CA",California
"Santa Cruz, CA",California
"Napa, CA",California
"Ventura, CA",California
"Worcester, MA",Massachusetts
"Gwinnett, GA",Georgia
"DeKalb, GA",Georgia
"Floyd, GA",Georgia
"Fayette, GA",Georgia
"Gregg, TX",Texas
"Monmouth, NJ",New Jersey
"Burlington, NJ",New Jersey
"Camden, NJ",New Jersey
"Passaic, NJ",New Jersey
"Union, NJ",New Jersey
"Eagle, CO",Colorado
"Larimer, CO",Colorado
"Arapahoe, CO",Colorado
"Gunnison, CO",Colorado
"Kane, IL",Illinois
"Monroe, PA",Pennsylvania
"Philadelphia, PA",Pennsylvania
"Norfolk, VA",Virginia
"Arlington, VA",Virginia
"Spotsylvania, VA",Virginia
"Loudoun, VA",Virginia
"Prince George's, MD",Maryland
"Pottawattamie, IA",Iowa
"Camden, NC",North Carolina
"Pima, AZ",Arizona
"Noble, IN",Indiana
"Adams, IN",Indiana
"Boone, IN",Indiana
"Dane, WI",Wisconsin
"Pierce, WI",Wisconsin
"Cuyahoga, OH",Ohio
"Weber, UT",Utah
"Bennington County, VT",Vermont
"Carver County, MN",Minnesota
"Charlotte County, FL",Florida
"Cherokee County, GA",Georgia
"Collin County, TX",Texas
"Jefferson County, KY",Kentucky
"Jefferson Parish, LA",Louisiana
"Shasta County, CA",California
"Spartanburg County, SC",South Carolina
"Harrison County, KY",Kentucky
"Johnson County, IA",Iowa
"Berkshire County, MA",Massachusetts
"Davidson County, TN",Tennessee
"Douglas County, OR",Oregon
"Fresno County, CA",California
"Harford County, MD",Maryland
"Hendricks County, IN",Indiana
"Hudson County, NJ",New Jersey
"Johnson County, KS",Kansas
"Kittitas County, WA",Washington
"Manatee County, FL",Florida
"Marion County, OR",Oregon
"Okaloosa County, FL",Florida
"Polk County, GA",Georgia
"Riverside County, CA",California
"Shelby County, TN",Tennessee
"St. Louis County, MO",Missouri
"Suffolk County, NY",New York
"Ulster County, NY",New York
"Volusia County, FL",Florida
"Fairfax County, VA",Virginia
"Rockingham County, NH",New Hampshire
"Montgomery County, PA",Pennsylvania
"Alameda County, CA",California
"Broward County, FL",Florida
"Lee County, FL",Florida
"Pinal County, AZ",Arizona
"Rockland County, NY",New York
"Saratoga County, NY",New York
"Charleston County, SC",South Carolina
"Clark County, WA",Washington
"Cobb County, GA",Georgia
"Davis County, UT",Utah
"El Paso County, CO",Colorado
"Honolulu County, HI",Hawaii
"Jackson County, OR ",Oregon
"Jefferson County, WA",Washington
"Kershaw County, SC",South Carolina
"Klamath County, OR",Oregon
"Madera County, CA",California
"Pierce County, WA",Washington
"Tulsa County, OK",Oklahoma
"Douglas County, CO",Colorado
"Providence County, RI",Rhode Island
"Chatham County, NC",North Carolina
"Delaware County, PA",Pennsylvania
"Douglas County, NE",Nebraska
"Fayette County, KY",Kentucky
"Marion County, IN",Indiana
"Middlesex County, MA",Massachusetts
"Nassau County, NY",New York
"Ramsey County, MN",Minnesota
"Washoe County, NV",Nevada
"Wayne County, PA",Pennsylvania
"Yolo County, CA",California
"Santa Clara County, CA",California
"Clark County, NV",Nevada
"Fort Bend County, TX",Texas
"Grant County, WA",Washington
"Santa Rosa County, FL",Florida
"Williamson County, TN",Tennessee
"New York County, NY",New York
"Montgomery County, MD",Maryland
"Suffolk County, MA",Massachusetts
"Denver County, CO",Colorado
"Summit County, CO",Colorado
"Bergen County, NJ",New Jersey
"Harris County, TX",Texas
"San Francisco County, CA",California
"Contra Costa County, CA",California
"Orange County, CA",California
"Norfolk County, MA",Massachusetts
"Maricopa County, AZ",Arizona
"Wake County, NC",North Carolina
"Westchester County, NY",New York
"Grafton County, NH",New Hampshire
"Hillsborough, FL",Florida
"Placer County, CA",California
"San Mateo, CA",California
"Sonoma County, CA",California
"Umatilla, OR",Oregon
"Fulton County, GA",Georgia
"Washington County, OR",Oregon
"Snohomish County, WA",Washington
"Humboldt County, CA",California
"Sacramento County, CA",California
"San Diego County, CA",California
"San Benito, CA",California
"Los Angeles, CA",California
"King County, WA",Washington
"Cook County, IL",Illinois
"Skagit, WA",Washington
"Thurston, WA",Washington
"Island, WA",Washington
"Whatcom, WA",Washington
"Marin, CA",California
"Calaveras, CA",California
"Stanislaus, CA",California
"San Joaquin, CA",California
"Essex, MA",Massachusetts
"Charlton, GA",Georgia
"Collier, FL",Florida
"Pinellas, FL",Florida
"Alachua, FL",Florida
"Nassau, FL",Florida
"Pasco, FL",Florida
"Dallas, TX",Texas
"Tarrant, TX",Texas
"Montgomery, TX",Texas
"Middlesex, NJ",New Jersey
"Jefferson, CO",Colorado
"Multnomah, OR",Oregon
"Polk, OR",Oregon
"Deschutes, OR",Oregon
"McHenry, IL",Illinois
"Lake, IL",Illinois
"Bucks, PA",Pennsylvania
"Hanover, VA",Virginia
"Lancaster, SC",South Carolina
"Sullivan, TN",Tennessee
"Johnson, IN",Indiana
"Howard, IN",Indiana
"St. Joseph, IN",Indiana
"Knox, NE",Nebraska
"Stark, OH",Ohio
"Anoka, MN",Minnesota
"Olmsted, MN",Minnesota
"Summit, UT",Utah
"Fairfield, CT",Connecticut
"Litchfield, CT",Connecticut
"Orleans, LA",Louisiana
"Pennington, SD",South Dakota
"Beadle, SD",South Dakota
"Charles Mix, SD",South Dakota
"Davison, SD",South Dakota
"Minnehaha, SD",South Dakota
"Bon Homme, SD",South Dakota
"Socorro, NM",New Mexico
"Bernalillo, NM",New Mexico
"Oakland, MI",Maine
"Wayne, MI",Maine
"New Castle, DE",Delaware
